상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
백설부침가루(1kg),2000,N,N,0,0,0,2000
백설부침가루(1kg),2960,N,N,0,0,0,2960
백설부침가루(1kg),2200,N,N,0,0,0,2200
백설부침가루(1kg),1900,N,N,0,0,0,1900
백설부침가루(1kg),3000,N,N,0,0,0,3000
백설부침가루(1kg),1780,N,N,0,0,0,1780
백설부침가루(1kg),1850,N,N,0,0,0,1850
백설부침가루(1kg),2500,N,N,0,0,0,2500
백설부침가루(1kg),2200,Y,N,0,1,0,2200
백설부침가루(1kg),2350,N,N,0,0,0,2350
백설부침가루(1kg),2850,N,N,0,0,0,2850
백설부침가루(1kg),1980,N,N,0,0,0,1980
백설부침가루(1kg),1550,N,N,1,0,0,1550
오뚜기부침가루(1kg),2350,N,N,0,0,1,1175
오뚜기부침가루(1kg),2990,N,N,0,0,0,2990
오뚜기부침가루(1kg),1740,Y,N,0,1,0,1740
오뚜기부침가루(1kg),2450,N,N,0,0,0,2450
오뚜기부침가루(1kg),2000,N,N,0,0,0,2000
오뚜기부침가루(1kg),2700,N,N,0,0,0,2700
오뚜기부침가루(1kg),2390,N,N,0,0,0,2390
오뚜기부침가루(1kg),2850,N,N,0,0,0,2850
오뚜기부침가루(1kg),2400,N,N,0,0,0,2400
오뚜기부침가루(1kg),3090,N,N,0,0,0,3090
오뚜기부침가루(1kg),1980,N,N,0,0,0,1980
오뚜기부침가루(1kg),2600,N,N,0,0,0,2600
오뚜기부침가루(1kg),2890,N,N,0,0,0,2890
오뚜기부침가루(1kg),3190,N,N,0,0,0,3190
오뚜기부침가루(1kg),2250,N,N,0,0,0,2250
오뚜기부침가루(1kg),2200,N,N,1,0,1,1100
오뚜기부침가루(1kg),1850,N,N,0,0,0,1850
오뚜기부침가루(1kg),1680,N,N,0,0,0,1680
오뚜기부침가루(1kg),2300,N,N,0,0,0,2300
오뚜기부침가루(1kg),1800,N,N,0,0,0,1800
오뚜기부침가루(1kg),3000,N,N,0,0,0,3000
오뚜기부침가루(1kg),1950,Y,N,0,1,0,1950
오뚜기부침가루(1kg),1980,Y,N,0,1,0,1980
오뚜기부침가루(1kg),2550,N,N,0,0,0,2550
오뚜기부침가루(1kg),2500,N,N,0,0,0,2500
1964 정통 크림빵,2890,N,N,0,0,0,2890
1964 정통 크림빵,2680,N,N,0,0,0,2680
1964 정통 크림빵,1980,N,N,1,0,0,1980
1964 정통 크림빵,3100,N,N,0,0,0,3100
1964 정통 크림빵,2990,N,N,0,0,0,2990
1964 정통 크림빵,3300,N,N,0,0,0,3300
1964 정통 크림빵,3500,N,N,0,0,0,3500
1964 정통 크림빵,3200,N,N,0,0,0,3200
1964 정통 크림빵,2180,N,N,0,0,0,2180
1964 정통 크림빵,2280,N,N,0,0,0,2280
1964 정통 크림빵,2690,N,N,0,0,0,2690
1964 정통 크림빵,3250,N,N,0,0,0,3250
1964 정통 크림빵,2900,N,N,0,0,0,2900
1964 정통 크림빵,2980,N,N,0,0,0,2980
롯데 미니소보로(375g),2680,N,N,0,0,0,2680
롯데 미니소보로(375g),2190,N,N,1,0,0,2190
롯데 미니소보로(375g),2690,N,N,0,0,0,2690
샤니 속이알찬 단팥빵(255g),2680,N,N,1,0,1,1340
샤니 속이알찬 단팥빵(255g),2250,N,N,0,0,0,2250
샤니 속이알찬 단팥빵(255g),2980,N,N,0,0,0,2980
샤니 속이알찬 단팥빵(255g),3100,N,N,0,0,0,3100
샤니 속이알찬 단팥빵(255g),3300,N,N,0,0,0,3300
샤니 요요꿀호떡(400g),2990,N,N,0,0,0,2990
샤니 요요꿀호떡(400g),3600,N,N,0,0,0,3600
샤니 요요꿀호떡(400g),2680,N,N,0,0,0,2680
샤니 요요꿀호떡(400g),3800,N,N,0,0,0,3800
샤니 요요꿀호떡(400g),3180,N,N,0,0,0,3180
샤니 요요꿀호떡(400g),3650,N,N,0,0,0,3650
샤니 요요꿀호떡(400g),3700,N,N,0,0,0,3700
샤니 요요꿀호떡(400g),4000,N,N,0,0,0,4000
샤니 요요꿀호떡(400g),2650,N,N,0,0,0,2650
샤니 요요꿀호떡(400g),2980,N,N,0,0,0,2980
샤니 요요꿀호떡(400g),3500,N,N,1,0,1,1750
보노 포르치니버섯스프(51.6g),2280,N,N,0,0,0,2280
보노 포르치니버섯스프(51.6g),3500,N,N,0,0,0,3500
보노 포르치니버섯스프(51.6g),2850,N,N,0,0,0,2850
